小说分类,id,总阅读数,总鲜花数,总催更票数,总打赏(单位万),总月票数,总分享次数,评分
军事历史,2282977,3619172184,167931897,220814,5235837000.0,14737,11103,7050
同人小说,4433236,8730940845,271866422,216175,17432529000.0,13857,52859,15880
女生小说,12325,8611292,663613,563,90102000.0,73,0,40
恐怖灵异,553333,1073667234,41212998,50197,1516019000.0,1397,3073,1920
武侠仙侠,900416,1801445287,54784011,35119,2252987000.0,3280,5599,3100
玄幻奇幻,2363468,3310788215,227105799,192236,3979491000.0,21076,11455,7290
科幻网游,1144145,2082821214,103378361,67112,2777493000.0,3036,6074,4030
轻小说,78113,105294659,3510754,1893,445635000.0,188,97,290
都市言情,4483274,6776734276,393747130,243807,10517935000.0,18440,13159,15180
青春校园,29971,97054539,4444418,15192,42348000.0,39,156,100
