电影名,波动排名,现排名
"

                    最后的决斗
                
",上升10,1
"

                    倒数时刻
                
",下降1,2
"

                    寻找莹颖
                
",上升8,3
"

                    童一个世界
                
",上升1,4
"

                    国王理查德
                
",上升2,5
"

                    在你面前
                
",上升5,6
"

                    女孩和蜘蛛
                
",上升4,7
"

                    贝尔法斯特
                
",上升3,8
"

                    神之山岭
                
",上升2,9
"

                    内特拉姆
                
",上升1,10
