电影名,票房,现排名
"

                            魔法满屋
                        
",1274万,1
"

                            超能敢死队
                        
",1035万,2
"

                            古驰家族
                        
",677万,3
"

                            圣诞节与被选中的人：信使
                        

",410万,4
"

                            永恒族
                        
",394万,5
"

                            新生化危机
                        
",266万,6
"

                            沙丘
                        
",181万,7
"

                            大红狗克里弗
                        
",180万,8
"

                            国王理查德
                        
",120万,9
"

                            刀剑神域 进击篇：无星之夜的咏叹调
                        

",105万,10
